sweep_id	cell_id	description	seed	run_id	status	pre_quant_bpb	quant_bpb	ttt_bpb	artifact_bytes	overrides
20260427_232132	A0	baseline (PR #1851 defaults)	42	20260427_232132-A0-s42-38fe4988	OK		1.07469599	1.06171912	15919465	
20260427_234916	A1	LQER off	42	20260427_234916-A1-s42-2e99a2cd	OK		1.07526502	1.06209576	15908710	LQER_ENABLED=0
20260427_234916	A2	LQER sym (asym off)	42	20260427_234916-A2-s42-b7ee9e57	OK		1.07519135	1.06218706	15956224	LQER_ASYM_ENABLED=0
20260427_234916	A3	LQER rank=2	42	20260427_234916-A3-s42-3ba7c01c	OK		1.07474582	1.06172433	15916069	LQER_RANK=2
20260427_234916	A4	LQER rank=8	42	20260427_234916-A4-s42-d5f074e4	OK		1.07549818	1.06249153	15924516	LQER_RANK=8
20260427_234916	A5	LQER top_k=1	42	20260427_234916-A5-s42-27072be8	OK		1.07432650	1.06127675	15914255	LQER_TOP_K=1
20260427_234916	A6	LQER top_k=5	42	20260427_234916-A6-s42-d7f4c6f9	OK		1.07481433	1.06178187	15924901	LQER_TOP_K=5
20260427_234916	A7	LQER factor_bits=2	42	20260427_234916-A7-s42-a27b90ad	OK		1.07489430	1.06192457	15919287	LQER_FACTOR_BITS=2
20260427_234916	A8	LQER asym_group=128	42	20260427_234916-A8-s42-1f44967d	OK		1.07485133	1.06185730	15919178	LQER_ASYM_GROUP=128
20260427_234916	B1	SmearGate off	42	20260427_234916-B1-s42-adb71bd8	OK		1.07724822	1.06406663	15919904	SMEAR_GATE_ENABLED=0
20260427_234916	B2	SmearGate on, BOS mask off (1797 leakage)	42	20260427_234916-B2-s42-99d0b00d	OK		1.07519991	1.06227851	15921104	SMEAR_GATE_BOS_MASK=0
20260427_234916	C1	SparseAttnGate off	42	20260427_234916-C1-s42-4c7d628f	OK		1.07879800	1.06527525	15918176	SPARSE_ATTN_GATE_ENABLED=0
20260427_234916	C2	SparseAttnGate + GateQuant on (1797/1801 setting)	42	20260427_234916-C2-s42-077b8d7a	OK		1.07459231	1.06160573	15919841	GATED_ATTN_QUANT_GATE=1
20260427_234916	C3	dense GatedAttn instead of Sparse	42	20260427_234916-C3-s42-6fb3459a	OK		1.07666449	1.06352201	15997216	SPARSE_ATTN_GATE_ENABLED=0 GATED_ATTN_ENABLED=1
20260427_234916	D1	embed_bits=8 (S9 default)	42	20260427_234916-D1-s42-ba172d79	OK		1.07384571	1.06092090	16217629	EMBED_BITS=8 EMBED_CLIP_SIGMAS=20.0
20260427_234916	D2	matrix_bits=5 (more aggressive)	42	20260427_234916-D2-s42-5853e53c	OK		1.10419911	1.08861776	11936485	MATRIX_BITS=5
20260427_234916	D3	mlp_clip_sigmas=10 (S9 default)	42	20260427_234916-D3-s42-efa13ba1	OK		1.07327485	1.06031402	16604174	MLP_CLIP_SIGMAS=10.0
20260427_234916	E1	phased_ttt_num_phases=1	42	20260427_234916-E1-s42-cc0c8b48	OK		1.07586814	1.06290032	15919666	PHASED_TTT_NUM_PHASES=1
20260427_234916	E2	phased_ttt_num_phases=5	42	20260427_234916-E2-s42-3fa77ec2	OK		1.07478017	1.06180170	15922620	PHASED_TTT_NUM_PHASES=5
20260427_234916	E3	ttt_lora_alpha=96 (S9 default)	42	20260427_234916-E3-s42-2b2e3b9d	OK		1.07505532	1.06210876	15923384	TTT_LORA_ALPHA=96
20260427_234916	E4	ttt_weight_decay=0.5 (S9 default)	42	20260427_234916-E4-s42-ea92fba8	OK		1.07484416	1.06180127	15918340	TTT_WEIGHT_DECAY=0.5
20260427_234916	E5	TTT off (pre-TTT floor)	42	20260427_234916-E5-s42-7512c68e	OK		1.07506958		15918832	TTT_ENABLED=0 PHASED_TTT_NUM_PHASES=1
20260427_234916	F1	reproduce 1797 (BOS off + GateQuant on)	42	20260427_234916-F1-s42-266edeaa	OK		1.07451711	1.06148505	15921493	SMEAR_GATE_BOS_MASK=0 GATED_ATTN_QUANT_GATE=1
20260427_234916	F2	RecurAlpha on (1801 partial replay)	42	20260427_234916-F2-s42-e9b4770a	OK		1.07516689	1.06216273	15921675	RECUR_ALPHA_ENABLED=1
20260427_234916	F3	RecurAlpha + GateQuant (closer 1801)	42	20260427_234916-F3-s42-deace0ee	OK		1.07675926	1.06364862	15919369	RECUR_ALPHA_ENABLED=1 GATED_ATTN_QUANT_GATE=1 SMEAR_GATE_ENABLED=0
20260427_234916	F4	LQER off + SmearGate off (S9-ish floor)	42	20260427_234916-F4-s42-16127199	OK		1.07948323	1.06567855	15909350	LQER_ENABLED=0 SMEAR_GATE_ENABLED=0 SPARSE_ATTN_GATE_ENABLED=0
