cell_id	description	pre_quant_bpb	quant_bpb	ttt_bpb	artifact_bytes	source	overrides
Z0	baseline (PR #1851 exact, FUSED_CE_ENABLED=1)		1.07478920	1.06182213	15920630	v2	
P0	compile ON (baseline trace)		1.07639640	1.06276309	16903602	v3	DIAG_COMPILE_TRACE=1
P1	compile OFF (identity patch)		(crashed at serialize, pre_quant_bpb=1.10729154)		v2-fail	DIAG_COMPILE_TRACE=1 DIAG_COMPILE_DISABLE=1
P2	compile dynamic=True (training)		1.07893764	1.06534249	16903968	v3	DIAG_COMPILE_TRACE=1 TRAIN_COMPILE_DYNAMIC=1
Q1	matrix_bits=4 (bit-rate floor)		1.42919937	1.28286566	8690537	v2	MATRIX_BITS=4
Q3	matrix_bits=4 + LQER_RANK=8 (LQER rescue at low bits)		1.44493408	1.27981462	8691099	v2	MATRIX_BITS=4 LQER_RANK=8
Q4	embed_bits=6 + embed_clip=10		1.07570738	1.06262666	15678353	v2	EMBED_BITS=6 EMBED_CLIP_SIGMAS=10.0
R0	rank=96 bs=64 (anchor)			1.06195424		v4	TTT_EVAL_ONLY=1 DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4
R1	rank=96 bs=16			1.06168894		v4	TTT_EVAL_ONLY=1 DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4 TTT_BATCH_SIZE=16
R2	rank=96 bs=128			(OOM)		v4-fail	TTT_EVAL_ONLY=1 DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4 TTT_BATCH_SIZE=128
R4	rank=192 bs=64 (high rank)			1.06191709		v4	TTT_EVAL_ONLY=1 DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4 TTT_LORA_RANK=192
R5	rank=192 bs=16 (SMT-failure mode)			1.06165641		v4	TTT_EVAL_ONLY=1 DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4 TTT_LORA_RANK=192 TTT_BATCH_SIZE=16
