sweep_id	cell_id	description	seed	run_id	status	pre_quant_bpb	quant_bpb	ttt_bpb	artifact_bytes	overrides
20260428_091532	Z0	baseline (PR #1851 exact, FUSED_CE_ENABLED=1)	42	20260428_091532-Z0-s42-a059953c	OK		1.07478920	1.06182213	15920630	
20260428_091532	P0	compile ON (baseline trace)	42	20260428_091532-P0-s42-ad8e0109	FAIL_exit_1					DIAG_COMPILE_TRACE=1
20260428_091532	P1	compile OFF (identity patch)	42	20260428_091532-P1-s42-861bc03c	FAIL_exit_1					DIAG_COMPILE_TRACE=1 DIAG_COMPILE_DISABLE=1
20260428_091532	P2	compile dynamic=True (training)	42	20260428_091532-P2-s42-47df92a1	FAIL_exit_1					DIAG_COMPILE_TRACE=1 TRAIN_COMPILE_DYNAMIC=1
20260428_091532	Q1	matrix_bits=4 (bit-rate floor)	42	20260428_091532-Q1-s42-2f2a20de	OK		1.42919937	1.28286566	8690537	MATRIX_BITS=4
20260428_091532	Q3	matrix_bits=4 + LQER_RANK=8 (LQER rescue at low bits)	42	20260428_091532-Q3-s42-58a1e089	OK		1.44493408	1.27981462	8691099	MATRIX_BITS=4 LQER_RANK=8
20260428_091532	Q4	embed_bits=6 + embed_clip=10	42	20260428_091532-Q4-s42-9eb6a616	OK		1.07570738	1.06262666	15678353	EMBED_BITS=6 EMBED_CLIP_SIGMAS=10.0
20260428_091532	R0	rank=96 bs=64 (anchor)	42	20260428_091532-R0-s42-f2c43f4d	FAIL_exit_1					TTT_EVAL_ONLY=1 QUANTIZED_MODEL_PATH=models/20260427_232132-A0-s42-38fe4988.int6.ptz DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4
20260428_091532	R1	rank=96 bs=16	42	20260428_091532-R1-s42-ee2740d5	FAIL_exit_1					TTT_EVAL_ONLY=1 QUANTIZED_MODEL_PATH=models/20260427_232132-A0-s42-38fe4988.int6.ptz DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4 TTT_BATCH_SIZE=16
20260428_091532	R2	rank=96 bs=128	42	20260428_091532-R2-s42-d4d2bc8a	FAIL_exit_1					TTT_EVAL_ONLY=1 QUANTIZED_MODEL_PATH=models/20260427_232132-A0-s42-38fe4988.int6.ptz DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4 TTT_BATCH_SIZE=128
20260428_091532	R4	rank=192 bs=64 (high rank)	42	20260428_091532-R4-s42-ec750db9	FAIL_exit_1					TTT_EVAL_ONLY=1 QUANTIZED_MODEL_PATH=models/20260427_232132-A0-s42-38fe4988.int6.ptz DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4 TTT_LORA_RANK=192
20260428_091532	R5	rank=192 bs=16 (SMT-failure mode)	42	20260428_091532-R5-s42-d61bc9ef	FAIL_exit_1					TTT_EVAL_ONLY=1 QUANTIZED_MODEL_PATH=models/20260427_232132-A0-s42-38fe4988.int6.ptz DIAG_TTT_NOISE=1 DIAG_TTT_NOISE_K=4 TTT_LORA_RANK=192 TTT_BATCH_SIZE=16
